Treatment,Matrix,Time,Replicate,Name,Group,Subject
Control,Soil,1,1,C1_Soil_T0,Cont_soil_0,ContS1
Control,Soil,1,2,C2_Soil_T0,Cont_soil_0,ContS2
Control,Soil,1,3,C3_Soil_T0,Cont_soil_0,ContS3
Control,Soil,1,4,C4_Soil_T0,Cont_soil_0,ContS4
Control,Soil,1,5,C5_Soil_T0,Cont_soil_0,ContS5
Control,Soil,2,1,C1_Soil_T1,Cont_soil_1,ContS1
Control,Soil,2,2,C2_Soil_T1,Cont_soil_1,ContS2
Control,Soil,2,3,C3_Soil_T1,Cont_soil_1,ContS3
Control,Soil,2,4,C4_Soil_T1,Cont_soil_1,ContS4
Control,Soil,2,5,C5_Soil_T1,Cont_soil_1,ContS5
Control,RiceStraw,1,1,C1_TA_T0,Cont_rs_0,ContRS1
Control,RiceStraw,1,2,C2_TA_T0,Cont_rs_0,ContRS2
Control,RiceStraw,1,3,C3_TA_T0,Cont_rs_0,ContRS3
Control,RiceStraw,1,4,C4_TA_T0,Cont_rs_0,ContRS4
Control,RiceStraw,1,5,C5_TA_T0,Cont_rs_0,ContRS5
Control,RiceStraw,2,1,C1_TA_T1,Cont_rs_1,ContRS1
Control,RiceStraw,2,2,C2_TA_T1,Cont_rs_1,ContRS2
Control,RiceStraw,2,3,C3_TA_T1,Cont_rs_1,ContRS3
Control,RiceStraw,2,4,C4_TA_T1,Cont_rs_1,ContRS4
Control,RiceStraw,2,5,C5_TA_T1,Cont_rs_1,ContRS5
T1,Soil,1,1,T1_1_Soil_T0,T1_soil_0,FBpS1
T1,Soil,1,2,T1_2_Soil_T0,T1_soil_0,FBpS2
T1,Soil,1,3,T1_3_Soil_T0,T1_soil_0,FBpS3
T1,Soil,1,4,T1_4_Soil_T0,T1_soil_0,FBpS4
T1,Soil,1,5,T1_5_Soil_T0,T1_soil_0,FBpS5
T1,Soil,2,1,T1_1_Soil_T1,T1_soil_1,FBpS1
T1,Soil,2,2,T1_2_Soil_T1,T1_soil_1,FBpS2
T1,Soil,2,3,T1_3_Soil_T1,T1_soil_1,FBpS3
T1,Soil,2,4,T1_4_Soil_T1,T1_soil_1,FBpS4
T1,Soil,2,5,T1_5_Soil_T1,T1_soil_1,FBpS5
T1,RiceStraw,2,1,T1_1_TA_T1,T1_rs_1,FBpRS1
T1,RiceStraw,2,2,T1_2_TA_T1,T1_rs_1,FBpRS2
T1,RiceStraw,2,3,T1_3_TA_T1,T1_rs_1,FBpRS3
T1,RiceStraw,2,4,T1_4_TA_T1,T1_rs_1,FBpRS4
T1,RiceStraw,2,5,T1_5_TA_T1,T1_rs_1,FBpRS5
T2,Soil,1,1,T2_1_Soil_T0,T2_soil_0,FBpNitS1
T2,Soil,1,2,T2_2_Soil_T0,T2_soil_0,FBpNitS2
T2,Soil,1,3,T2_3_Soil_T0,T2_soil_0,FBpNitS3
T2,Soil,1,4,T2_4_Soil_T0,T2_soil_0,FBpNitS4
T2,Soil,1,5,T2_5_Soil_T0,T2_soil_0,FBpNitS5
T2,Soil,2,1,T2_1_Soil_T1,T2_soil_1,FBpNitS1
T2,Soil,2,2,T2_2_Soil_T1,T2_soil_1,FBpNitS2
T2,Soil,2,3,T2_3_Soil_T1,T2_soil_1,FBpNitS3
T2,Soil,2,4,T2_4_Soil_T1,T2_soil_1,FBpNitS4
T2,Soil,2,5,T2_5_Soil_T1,T2_soil_1,FBpNitS5
T2,RiceStraw,2,1,T2_1_TA_T1,T2_rs_1,FBpNitRS1
T2,RiceStraw,2,2,T2_2_TA_T1,T2_rs_1,FBpNitRS2
T2,RiceStraw,2,3,T2_3_TA_T1,T2_rs_1,FBpNitRS3
T2,RiceStraw,2,4,T2_4_TA_T1,T2_rs_1,FBpNitRS4
T2,RiceStraw,2,5,T2_5_TA_T1,T2_rs_1,FBpNitRS5
T3,Soil,1,1,T3_1_Soil_T0,T3_soil_0,FCentS1
T3,Soil,1,2,T3_2_Soil_T0,T3_soil_0,FCentS2
T3,Soil,1,3,T3_3_Soil_T0,T3_soil_0,FCentS3
T3,Soil,1,4,T3_4_Soil_T0,T3_soil_0,FCentS4
T3,Soil,1,5,T3_5_Soil_T0,T3_soil_0,FCentS5
T3,Soil,2,1,T3_1_Soil_T1,T3_soil_1,FCentS1
T3,Soil,2,2,T3_2_Soil_T1,T3_soil_1,FCentS2
T3,Soil,2,3,T3_3_Soil_T1,T3_soil_1,FCentS3
T3,Soil,2,4,T3_4_Soil_T1,T3_soil_1,FCentS4
T3,Soil,2,5,T3_5_Soil_T1,T3_soil_1,FCentS5
T3,RiceStraw,2,1,T3_1_TA_T1,T3_rs_1,FCentRS1
T3,RiceStraw,2,2,T3_2_TA_T1,T3_rs_1,FCentRS2
T3,RiceStraw,2,3,T3_3_TA_T1,T3_rs_1,FCentRS3
T3,RiceStraw,2,4,T3_4_TA_T1,T3_rs_1,FCentRS4
T3,RiceStraw,2,5,T3_5_TA_T1,T3_rs_1,FCentRS5